course_title,domain,sub_domain,level,duration,paid_free,price,mentor,url
Introduction to Physical Chemistry,Physical Science,Chemistry,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/physical-chemistry
Introduction to Forensic Science,Physical Science,Chemistry,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/forensic-science
Chemical Hazards: Toxicology & Reactivity,Physical Science,Chemistry,Intermediate,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/chemical-hazards-toxicology-and-reactivity
EspectroscopÃ­a infrarroja: Algoritmo de interpretaciÃ³n,Physical Science,Chemistry,Intermediate,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/espectroscopia-infrarroja
Cosmetic Formulation Science,Physical Science,Chemistry,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/cosmetic-formulation-science
Environmental Science,Physical Science,Earth Science,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/environmental-science
Planet Earth...and You!,Physical Science,Earth Science,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/planet-earth
"Satellite Imagery, Remote Sensing & Machine Learning",Physical Science,Earth Science,Intermediate,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/satellite-imagery-remote-sensing-ml
"Our Earth: Its Climate, History, and Processes",Physical Science,Earth Science,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/our-earth
Environmental Studies,Physical Science,Earth Science,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/environmental-studies-odc
Climate Science for Everyone,Physical Science,Earth Science,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/climate-science-everyone
Global Warming I: The Science and Modeling of Climate Change,Physical Science,Earth Science,Mixed,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/global-warming
Introduction to Environmental Science,Physical Science,Earth Science,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/intro-to-environmental-science
Imagining Other Earths,Physical Science,Earth Science,Mixed,6,Free,0,Coursera Instructor,https://www.coursera.org/learn/life-on-other-planets
Biosphere 2 Science for the Future of Our Planet,Physical Science,Earth Science,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/biosphere-science-future
The Dynamic Earth: A Course for Educators,Physical Science,Earth Science,Mixed,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/earth-amnh
Astronomy: Exploring Time and Space,Physical Science,Astronomy,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/astro
From the Big Bang to Dark Energy,Physical Science,Astronomy,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/big-bang
Confronting The Big Questions: Highlights of Modern Astronomy,Physical Science,Astronomy,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/astronomy
Astrobiology: Exploring Other Worlds,Physical Science,Astronomy,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/astrobiology-exploring-other-worlds
The Evolving Universe,Physical Science,Astronomy,Mixed,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/evolvinguniverse
Archaeoastronomy,Physical Science,Astronomy,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/archaeoastronomy
Rocket Science for Everyone,Physical Science,Astronomy,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/rocket-science-for-everyone
Rocket Science 101,Physical Science,Astronomy,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/specializations/rocket-science-101
Introduction to Sustainability,Physical Science,Environmental Science,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/sustainability
Global Environmental Management,Physical Science,Environmental Science,Intermediate,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/global-environmental-management
Sustainable Cities,Physical Science,Environmental Science,Intermediate,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/sustainablecities
Drones for Environmental Science,Physical Science,Environmental Science,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/drones-for-environmental-science
Fundamentals of GIS,Physical Science,Geology,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/gis
Hydrocarbon Exploration and Production,Physical Science,Geology,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/hydrocarbon-exploration-and-production
"GIS, Mapping, and Spatial Analysis",Physical Science,Geology,Beginner,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/gis-mapping-spatial-analysis
Geographic Information Systems  (GIS),Physical Science,Geology,Beginner,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/gis
Geotechnical Foundation Design,Physical Science,Geology,Advanced,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/geotechnical-foundation-design
Arctic Meltdown,Physical Science,Geology,Beginner,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/arctic-climate-environment-geographies
Harness Earth Engine,Physical Science,Geology,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/harness-earth-engine
Renewable Energy,Physical Science,Energy,Beginner,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/renewable-energy
"Energy Production, Distribution & Safety",Physical Science,Energy,Beginner,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/energy-industry
Politics and Economics of International Energy,Physical Science,Energy,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/global-energy
Electric Industry Operations and Markets,Physical Science,Energy,Beginner,1,Free,0,Coursera Instructor,https://www.coursera.org/learn/electricity
"Solar Energy for Engineers, Architects and Code Inspectors",Physical Science,Energy,Beginner,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/solar-energy
Solar Energy Basics,Physical Science,Energy,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/solar-energy-basics
Renewable Energy Technology Fundamentals,Physical Science,Energy,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/renewable-energy-technology-fundamentals
Renewable Energy Projects,Physical Science,Energy,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/renewable-energy-projects
Solar Energy System Design,Physical Science,Energy,Intermediate,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/solar-energy-system-design
Wind Energy,Physical Science,Energy,Mixed,6,Free,0,Coursera Instructor,https://www.coursera.org/learn/wind-energy
Renewable Energy and Green Building Entrepreneurship,Physical Science,Energy,Beginner,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/renewable-energy-entrepreneurship
Epigenetic Control of Gene Expression,Life Sciences,Genetics,Mixed,3,Free,0,Coursera Instructor,https://www.coursera.org/learn/epigenetics
Genomic Data Science,Life Sciences,Genetics,Intermediate,6,Free,0,Coursera Instructor,https://www.coursera.org/specializations/genomic-data-science
